"filename", "language", "JSON", "JSON with Comments", "TypeScript", "XML", "TypeScript JSX", "CSS", "Markdown", "HTML", "JavaScript", "comment", "blank", "total"
"c:\Users\Lenovo\Desktop\React——Editor\client\src\components\OutputBox.tsx", "TypeScript JSX", 0, 0, 0, 0, 95, 0, 0, 0, 0, 7, 17, 119
"c:\Users\Lenovo\Desktop\React——Editor\client\src\components\RunCoder.tsx", "TypeScript JSX", 0, 0, 0, 0, 63, 0, 0, 0, 0, 5, 10, 78
"c:\Users\Lenovo\Desktop\React——Editor\client\src\components\Slider.tsx", "TypeScript JSX", 0, 0, 0, 0, 79, 0, 0, 0, 0, 3, 9, 91
"c:\Users\Lenovo\Desktop\React——Editor\client\src\components\Terminal.tsx", "TypeScript JSX", 0, 0, 0, 0, 248, 0, 0, 0, 0, 30, 34, 312
"c:\Users\Lenovo\Desktop\React——Editor\client\src\components\ifarm.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 1, 20
"c:\Users\Lenovo\Desktop\React——Editor\client\src\components\ui\avatar.tsx", "TypeScript JSX", 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 6, 52
"c:\Users\Lenovo\Desktop\React——Editor\client\src\components\ui\button.tsx", "TypeScript JSX", 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 6, 61
"c:\Users\Lenovo\Desktop\React——Editor\client\src\components\ui\card.tsx", "TypeScript JSX", 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 10, 93
"c:\Users\Lenovo\Desktop\React——Editor\client\src\components\ui\dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 108, 0, 0, 0, 0, 0, 14, 122
"c:\Users\Lenovo\Desktop\React——Editor\client\src\components\ui\dropdown-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 238, 0, 0, 0, 0, 0, 18, 256
"c:\Users\Lenovo\Desktop\React——Editor\client\src\components\ui\input.tsx", "TypeScript JSX", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 6, 27
