Date : 2025-12-11 09:25:15
Directory : c:\Users\Lenovo\Desktop\React——Editor\client
Total : 85 files,  33350 codes, 535 comments, 929 blanks, all 34814 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\api\auth\auth.ts                             | TypeScript         |         26 |          5 |          5 |         36 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\api\auth\types.ts                            | TypeScript         |         21 |          0 |          3 |         24 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\api\socket.ts                                | TypeScript         |         12 |          5 |          8 |         25 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\assets\react.svg                             | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\Client.tsx                        | TypeScript JSX     |         58 |          5 |          7 |         70 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\CoderEditor\Editor.tsx            | TypeScript JSX     |         70 |         13 |          9 |         92 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\CoderEditor\index.tsx             | TypeScript JSX     |         20 |          8 |          1 |         29 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\Control-Router\ProtectedRoute.tsx | TypeScript JSX     |         17 |          2 |          3 |         22 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\Control-Router\PublicRoute.tsx    | TypeScript JSX     |         16 |          1 |          4 |         21 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\Editor.tsx                        | TypeScript JSX     |        364 |         33 |         66 |        463 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\FileListItem.tsx                  | TypeScript JSX     |         71 |          0 |          8 |         79 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\FileNameList.tsx                  | TypeScript JSX     |         57 |          0 |          3 |         60 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\FileTree\FileTree.tsx             | TypeScript JSX     |        674 |         56 |         66 |        796 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\Header.tsx                        | TypeScript JSX     |        171 |         16 |         25 |        212 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\LeetCode.tsx                      | TypeScript JSX     |        331 |         11 |         26 |        368 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\Message.tsx                       | TypeScript JSX     |         24 |          0 |          5 |         29 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\OutputBox.tsx                     | TypeScript JSX     |         95 |          7 |         17 |        119 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\RunCoder.tsx                      | TypeScript JSX     |         63 |          5 |         10 |         78 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\Slider.tsx                        | TypeScript JSX     |         79 |          3 |          9 |         91 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\Terminal.tsx                      | TypeScript JSX     |        248 |         30 |         34 |        312 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\ifarm.html                        | HTML               |         19 |          0 |          1 |         20 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\ui\avatar.tsx                     | TypeScript JSX     |         46 |          0 |          6 |         52 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\ui\button.tsx                     | TypeScript JSX     |         55 |          0 |          6 |         61 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\ui\card.tsx                       | TypeScript JSX     |         83 |          0 |         10 |         93 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\ui\dialog.tsx                     | TypeScript JSX     |        108 |          0 |         14 |        122 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\ui\dropdown-menu.tsx              | TypeScript JSX     |        238 |          0 |         18 |        256 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\ui\input.tsx                      | TypeScript JSX     |         21 |          0 |          6 |         27 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\ui\label.tsx                      | TypeScript JSX     |         19 |          0 |          4 |         23 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\ui\sonner.tsx                     | TypeScript JSX     |         35 |          0 |          4 |         39 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\index.css                                    | CSS                |        203 |          8 |         26 |        237 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\lib\utils.ts                                 | TypeScript         |          5 |          0 |          2 |          7 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\main.tsx                                     | TypeScript JSX     |          6 |          0 |          5 |         11 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\pages\AuthCallback.tsx                       | TypeScript JSX     |         67 |          5 |         13 |         85 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\pages\Dashboard.tsx                          | TypeScript JSX     |        334 |          8 |         17 |        359 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\pages\EditorFilesPage.tsx                    | TypeScript JSX     |         57 |          8 |          8 |         73 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\pages\EditorSigelPage.tsx                    | TypeScript JSX     |        209 |         36 |         35 |        280 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\pages\Login.tsx                              | TypeScript JSX     |        206 |          7 |         25 |        238 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\pages\NotFound.tsx                           | TypeScript JSX     |         53 |          2 |         10 |         65 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\pages\Preview.tsx                            | TypeScript JSX     |         97 |         14 |          5 |        116 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\pages\Register.tsx                           | TypeScript JSX     |        267 |          5 |         29 |        301 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\pages\home.tsx                               | TypeScript JSX     |        178 |         11 |         26 |        215 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\template\App.css                             | CSS                |         57 |          0 |          8 |         65 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\template\App.tsx                             | TypeScript JSX     |         14 |          0 |          3 |         17 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\template\import-map.json                     | JSON               |          6 |          0 |          0 |          6 |
