Date : 2025-12-11 09:25:15
Directory : c:\Users\Lenovo\Desktop\React——Editor\client
Total : 137 files,  24946 codes, 404 comments, 568 blanks, all 25918 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| ..\src\types                                                                                  |          1 |        -30 |          0 |         -5 |        -35 |
| ..\src\utils                                                                                  |          7 |       -226 |        -32 |        -30 |       -288 |
| code-start                                                                                    |          7 |     19,159 |          0 |         13 |     19,172 |
| code-start\react-ts                                                                           |          7 |     19,159 |          0 |         13 |     19,172 |
| code-start\react-ts (Files)                                                                   |          3 |     19,125 |          0 |          3 |     19,128 |
| code-start\react-ts\public                                                                    |          1 |          1 |          0 |          0 |          1 |
| code-start\react-ts\src                                                                       |          3 |         33 |          0 |         10 |         43 |
| public                                                                                        |          1 |          1 |          0 |          0 |          1 |
| src                                                                                           |         67 |      6,431 |        529 |        901 |      7,861 |
| src (Files)                                                                                   |          5 |        286 |         16 |         42 |        344 |
| src\Context                                                                                   |          3 |        291 |         28 |         30 |        349 |
| src\Context (Files)                                                                           |          1 |        109 |          8 |         10 |        127 |
| src\Context\AuthContext                                                                       |          2 |        182 |         20 |         20 |        222 |
| src\api                                                                                       |          3 |         59 |         10 |         16 |         85 |
| src\api (Files)                                                                               |          1 |         12 |          5 |          8 |         25 |
| src\api\auth                                                                                  |          2 |         47 |          5 |          8 |         60 |
| src\assets                                                                                    |          1 |          1 |          0 |          0 |          1 |
| src\components                                                                                |         25 |      2,982 |        190 |        362 |      3,534 |
| src\components (Files)                                                                        |         12 |      1,580 |        110 |        211 |      1,901 |
| src\components\CoderEditor                                                                    |          2 |         90 |         21 |         10 |        121 |
| src\components\Control-Router                                                                 |          2 |         33 |          3 |          7 |         43 |
| src\components\FileTree                                                                       |          1 |        674 |         56 |         66 |        796 |
| src\components\ui                                                                             |          8 |        605 |          0 |         68 |        673 |
| src\lib                                                                                       |          1 |          5 |          0 |          2 |          7 |
| src\pages                                                                                     |          9 |      1,468 |         96 |        168 |      1,732 |
| src\template                                                                                  |          4 |         85 |          0 |         13 |         98 |
| src\types                                                                                     |          2 |         48 |          1 |          7 |         56 |
| src\types (Files)                                                                             |          1 |         41 |          1 |          7 |         49 |
| src\types\users                                                                               |          1 |          7 |          0 |          0 |          7 |
| src\utils                                                                                     |         13 |      1,088 |        170 |        247 |      1,505 |
| src\yjs                                                                                       |          1 |        118 |         18 |         14 |        150 |
+-----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                      | language           | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\Lenovo\Desktop\React——Editor\DEPLOYMENT_GUIDE.md                                     | Markdown           |       -134 |          0 |        -61 |       -195 |
| c:\Users\Lenovo\Desktop\React——Editor\README.md                                               | Markdown           |        -60 |          0 |        -14 |        -74 |
| c:\Users\Lenovo\Desktop\React——Editor\client\code-start\react-ts\package-lock.json            | JSON               |     19,094 |          0 |          1 |     19,095 |
| c:\Users\Lenovo\Desktop\React——Editor\client\code-start\react-ts\package.json                 | JSON               |         23 |          0 |          1 |         24 |
| c:\Users\Lenovo\Desktop\React——Editor\client\code-start\react-ts\public\index.html            | HTML               |          1 |          0 |          0 |          1 |
| c:\Users\Lenovo\Desktop\React——Editor\client\code-start\react-ts\src\App.tsx                  | TypeScript JSX     |         10 |          0 |          3 |         13 |
| c:\Users\Lenovo\Desktop\React——Editor\client\code-start\react-ts\src\index.tsx                | TypeScript JSX     |          9 |          0 |          4 |         13 |
| c:\Users\Lenovo\Desktop\React——Editor\client\code-start\react-ts\src\style.css                | CSS                |         14 |          0 |          3 |         17 |
| c:\Users\Lenovo\Desktop\React——Editor\client\code-start\react-ts\tsconfig.json                | JSON with Comments |          8 |          0 |          1 |          9 |
| c:\Users\Lenovo\Desktop\React——Editor\client\components.json                                  | JSON               |         22 |          0 |          1 |         23 |
| c:\Users\Lenovo\Desktop\React——Editor\client\eslint.config.js                                 | JavaScript         |         22 |          0 |          2 |         24 |
| c:\Users\Lenovo\Desktop\React——Editor\client\index.html                                       | HTML               |         13 |          0 |          2 |         15 |
| c:\Users\Lenovo\Desktop\React——Editor\client\package-lock.json                                | JSON               |      7,547 |          0 |          1 |      7,548 |
| c:\Users\Lenovo\Desktop\React——Editor\client\package.json                                     | JSON               |         73 |          0 |          1 |         74 |
| c:\Users\Lenovo\Desktop\React——Editor\client\public\vite.svg                                  | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\App.css                                      | CSS                |          0 |          0 |          1 |          1 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\App.tsx                                      | TypeScript JSX     |         66 |          7 |          8 |         81 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\Context\AuthContext\AuthContext.tsx          | TypeScript JSX     |        173 |         20 |         19 |        212 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\Context\AuthContext\useAuth.tsx              | TypeScript JSX     |          9 |          0 |          1 |         10 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\Context\playgroundcontent.tsx                | TypeScript JSX     |        109 |          8 |         10 |        127 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\action.ts                                    | TypeScript         |         11 |          1 |          2 |         14 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\api\auth\auth.ts                             | TypeScript         |         26 |          5 |          5 |         36 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\api\auth\types.ts                            | TypeScript         |         21 |          0 |          3 |         24 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\api\socket.ts                                | TypeScript         |         12 |          5 |          8 |         25 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\assets\react.svg                             | XML                |          1 |          0 |          0 |          1 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\Client.tsx                        | TypeScript JSX     |         58 |          5 |          7 |         70 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\CoderEditor\Editor.tsx            | TypeScript JSX     |         70 |         13 |          9 |         92 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\CoderEditor\index.tsx             | TypeScript JSX     |         20 |          8 |          1 |         29 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\Control-Router\ProtectedRoute.tsx | TypeScript JSX     |         17 |          2 |          3 |         22 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\Control-Router\PublicRoute.tsx    | TypeScript JSX     |         16 |          1 |          4 |         21 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\Editor.tsx                        | TypeScript JSX     |        364 |         33 |         66 |        463 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\FileListItem.tsx                  | TypeScript JSX     |         71 |          0 |          8 |         79 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\FileNameList.tsx                  | TypeScript JSX     |         57 |          0 |          3 |         60 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\FileTree\FileTree.tsx             | TypeScript JSX     |        674 |         56 |         66 |        796 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\Header.tsx                        | TypeScript JSX     |        171 |         16 |         25 |        212 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\LeetCode.tsx                      | TypeScript JSX     |        331 |         11 |         26 |        368 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\Message.tsx                       | TypeScript JSX     |         24 |          0 |          5 |         29 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\OutputBox.tsx                     | TypeScript JSX     |         95 |          7 |         17 |        119 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\RunCoder.tsx                      | TypeScript JSX     |         63 |          5 |         10 |         78 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\Slider.tsx                        | TypeScript JSX     |         79 |          3 |          9 |         91 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\Terminal.tsx                      | TypeScript JSX     |        248 |         30 |         34 |        312 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\ifarm.html                        | HTML               |         19 |          0 |          1 |         20 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\ui\avatar.tsx                     | TypeScript JSX     |         46 |          0 |          6 |         52 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\ui\button.tsx                     | TypeScript JSX     |         55 |          0 |          6 |         61 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\ui\card.tsx                       | TypeScript JSX     |         83 |          0 |         10 |         93 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\ui\dialog.tsx                     | TypeScript JSX     |        108 |          0 |         14 |        122 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\ui\dropdown-menu.tsx              | TypeScript JSX     |        238 |          0 |         18 |        256 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\ui\input.tsx                      | TypeScript JSX     |         21 |          0 |          6 |         27 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\ui\label.tsx                      | TypeScript JSX     |         19 |          0 |          4 |         23 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\components\ui\sonner.tsx                     | TypeScript JSX     |         35 |          0 |          4 |         39 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\index.css                                    | CSS                |        203 |          8 |         26 |        237 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\lib\utils.ts                                 | TypeScript         |          5 |          0 |          2 |          7 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\main.tsx                                     | TypeScript JSX     |          6 |          0 |          5 |         11 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\pages\AuthCallback.tsx                       | TypeScript JSX     |         67 |          5 |         13 |         85 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\pages\Dashboard.tsx                          | TypeScript JSX     |        334 |          8 |         17 |        359 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\pages\EditorFilesPage.tsx                    | TypeScript JSX     |         57 |          8 |          8 |         73 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\pages\EditorSigelPage.tsx                    | TypeScript JSX     |        209 |         36 |         35 |        280 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\pages\Login.tsx                              | TypeScript JSX     |        206 |          7 |         25 |        238 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\pages\NotFound.tsx                           | TypeScript JSX     |         53 |          2 |         10 |         65 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\pages\Preview.tsx                            | TypeScript JSX     |         97 |         14 |          5 |        116 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\pages\Register.tsx                           | TypeScript JSX     |        267 |          5 |         29 |        301 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\pages\home.tsx                               | TypeScript JSX     |        178 |         11 |         26 |        215 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\template\App.css                             | CSS                |         57 |          0 |          8 |         65 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\template\App.tsx                             | TypeScript JSX     |         14 |          0 |          3 |         17 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\template\import-map.json                     | JSON               |          6 |          0 |          0 |          6 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\template\main.tsx                            | TypeScript JSX     |          8 |          0 |          2 |         10 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\types\types.ts                               | TypeScript         |         41 |          1 |          7 |         49 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\types\users\type.ts                          | TypeScript         |          7 |          0 |          0 |          7 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\utils\ata.ts                                 | TypeScript         |         16 |          0 |          2 |         18 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\utils\axios.ts                               | TypeScript         |        103 |         26 |         20 |        149 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\utils\babelPlug.ts                           | TypeScript         |         78 |         16 |          8 |        102 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\utils\codeWorker.ts                          | TypeScript         |         52 |          8 |         15 |         75 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\utils\compiler.ts                            | TypeScript         |         43 |          2 |          3 |         48 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\utils\dogAvataUrl.ts                         | TypeScript         |          8 |          0 |          0 |          8 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\utils\files.ts                               | TypeScript         |         43 |         45 |          9 |         97 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\utils\filetree.ts                            | TypeScript         |         86 |         33 |         21 |        140 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\utils\judgeLangyage.ts                       | TypeScript         |          8 |          1 |          0 |          9 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\utils\loadandcompress.ts                     | TypeScript         |         24 |         11 |          6 |         41 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\utils\mannegerToken.ts                       | TypeScript         |         73 |         25 |         24 |        122 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\utils\双Token刷新策略说明.md                        | Markdown           |        189 |          3 |         43 |        235 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\utils\双Token认证系统完整文档.md                      | Markdown           |        365 |          0 |         96 |        461 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\yjs\socket-provider.ts                       | TypeScript         |        118 |         18 |         14 |        150 |
| c:\Users\Lenovo\Desktop\React——Editor\client\tsconfig.app.json                                | JSON               |         27 |          2 |          2 |         31 |
| c:\Users\Lenovo\Desktop\React——Editor\client\tsconfig.json                                    | JSON with Comments |         17 |          0 |          0 |         17 |
| c:\Users\Lenovo\Desktop\React——Editor\client\tsconfig.node.json                               | JSON               |         22 |          2 |          3 |         27 |
| c:\Users\Lenovo\Desktop\React——Editor\client\vite-env.d.ts                                    | TypeScript         |          0 |          1 |          1 |          2 |
| c:\Users\Lenovo\Desktop\React——Editor\client\vite.config.ts                                   | TypeScript         |         16 |          1 |          2 |         19 |
| c:\Users\Lenovo\Desktop\React——Editor\components.json                                         | JSON               |        -22 |          0 |         -1 |        -23 |
| c:\Users\Lenovo\Desktop\React——Editor\eslint.config.js                                        | JavaScript         |        -22 |          0 |         -2 |        -24 |
| c:\Users\Lenovo\Desktop\React——Editor\index.html                                              | HTML               |        -13 |          0 |         -1 |        -14 |
| c:\Users\Lenovo\Desktop\React——Editor\package-lock.json                                       | JSON               |     -5,589 |          0 |         -1 |     -5,590 |
| c:\Users\Lenovo\Desktop\React——Editor\package.json                                            | JSON               |        -55 |          0 |         -1 |        -56 |
| c:\Users\Lenovo\Desktop\React——Editor\public\vite.svg                                         | XML                |         -1 |          0 |          0 |         -1 |
| c:\Users\Lenovo\Desktop\React——Editor\src\App.css                                             | CSS                |          0 |          0 |         -1 |         -1 |
| c:\Users\Lenovo\Desktop\React——Editor\src\App.tsx                                             | TypeScript JSX     |        -43 |         -3 |         -8 |        -54 |
| c:\Users\Lenovo\Desktop\React——Editor\src\Context\playgroundcontent.tsx                       | TypeScript JSX     |        -88 |         -6 |         -8 |       -102 |
| c:\Users\Lenovo\Desktop\React——Editor\src\assets\react.svg                                    | XML                |         -1 |          0 |          0 |         -1 |
| c:\Users\Lenovo\Desktop\React——Editor\src\components\Client.tsx                               | TypeScript JSX     |        -12 |          0 |         -3 |        -15 |
| c:\Users\Lenovo\Desktop\React——Editor\src\components\CoderEditor\index.tsx                    | TypeScript JSX     |        -22 |         -6 |         -1 |        -29 |
| c:\Users\Lenovo\Desktop\React——Editor\src\components\Editor.tsx                               | TypeScript JSX     |        -61 |        -16 |        -10 |        -87 |
