Date : 2025-12-24 01:37:43
Directory : c:\Users\Lenovo\Desktop\React——Editor\client
Total : 181 files,  26308 codes, 970 comments, 1164 blanks, all 28442 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |         13 |     17,476 |          4 |          5 |     17,485 |
| TypeScript JSX     |         62 |      6,115 |        420 |        749 |      7,284 |
| TypeScript         |         85 |      3,106 |        541 |        622 |      4,269 |
| CSS                |          4 |        274 |          8 |         38 |        320 |
| HTML               |          3 |         33 |          0 |          3 |         36 |
| XML                |          2 |          2 |          0 |          0 |          2 |
| JSON with Comments |          3 |          0 |          0 |          0 |          0 |
| JavaScript         |          2 |        -10 |         -1 |          1 |        -10 |
| Markdown           |          7 |       -688 |         -2 |       -254 |       -944 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                   |        181 |     26,308 |        970 |      1,164 |     28,442 |
| . (Files)                                                                                           |         10 |      9,794 |          6 |         15 |      9,815 |
| ..                                                                                                  |         40 |    -13,275 |       -200 |       -518 |    -13,993 |
| ..\server                                                                                           |         40 |    -13,275 |       -200 |       -518 |    -13,993 |
| ..\server (Files)                                                                                   |          7 |    -11,489 |         -3 |        -35 |    -11,527 |
| ..\server\src                                                                                       |         31 |     -1,756 |       -197 |       -477 |     -2,430 |
| ..\server\src (Files)                                                                               |          6 |        -98 |        -20 |        -16 |       -134 |
| ..\server\src\auth                                                                                  |         16 |     -1,275 |       -102 |       -382 |     -1,759 |
| ..\server\src\auth (Files)                                                                          |          3 |       -233 |        -70 |        -53 |       -356 |
| ..\server\src\auth\decorators                                                                       |          2 |        -11 |        -20 |         -5 |        -36 |
| ..\server\src\auth\filters                                                                          |          1 |          0 |          0 |         -1 |         -1 |
| ..\server\src\auth\guards                                                                           |          2 |        -20 |         -5 |         -6 |        -31 |
| ..\server\src\auth\leads                                                                            |          5 |       -947 |          0 |       -309 |     -1,256 |
| ..\server\src\auth\strategies                                                                       |          3 |        -64 |         -7 |         -8 |        -79 |
| ..\server\src\chat                                                                                  |          3 |       -227 |        -61 |        -45 |       -333 |
| ..\server\src\dto                                                                                   |          2 |        -21 |          0 |         -8 |        -29 |
| ..\server\src\user                                                                                  |          4 |       -135 |        -14 |        -26 |       -175 |
| ..\server\src\user (Files)                                                                          |          3 |       -102 |        -10 |        -15 |       -127 |
| ..\server\src\user\entities                                                                         |          1 |        -33 |         -4 |        -11 |        -48 |
| ..\server\test                                                                                      |          2 |        -30 |          0 |         -6 |        -36 |
| code-start                                                                                          |          7 |     19,159 |          0 |         13 |     19,172 |
| code-start\react-ts                                                                                 |          7 |     19,159 |          0 |         13 |     19,172 |
| code-start\react-ts (Files)                                                                         |          3 |     19,125 |          0 |          3 |     19,128 |
| code-start\react-ts\public                                                                          |          1 |          1 |          0 |          0 |          1 |
| code-start\react-ts\src                                                                             |          3 |         33 |          0 |         10 |         43 |
| public                                                                                              |          1 |          1 |          0 |          0 |          1 |
| src                                                                                                 |        123 |     10,629 |      1,164 |      1,654 |     13,447 |
| src (Files)                                                                                         |          5 |        311 |         34 |         62 |        407 |
| src\api                                                                                             |          7 |        239 |         48 |         58 |        345 |
| src\api (Files)                                                                                     |          1 |         30 |          8 |         10 |         48 |
| src\api\ai                                                                                          |          2 |         24 |          0 |          6 |         30 |
| src\api\auth                                                                                        |          2 |         53 |          8 |         11 |         72 |
| src\api\room                                                                                        |          2 |        132 |         32 |         31 |        195 |
| src\assets                                                                                          |          1 |          1 |          0 |          0 |          1 |
| src\components                                                                                      |         45 |      4,358 |        295 |        507 |      5,160 |
| src\components (Files)                                                                              |         12 |      1,384 |         89 |        166 |      1,639 |
| src\components\AIChat                                                                               |          7 |        634 |         58 |         63 |        755 |
| src\components\CoderEditor                                                                          |          3 |        305 |         68 |         48 |        421 |
| src\components\Control-Router                                                                       |          2 |         37 |          5 |         13 |         55 |
| src\components\FileTree                                                                             |          1 |        676 |         56 |         66 |        798 |
| src\components\member                                                                               |          2 |        126 |          4 |         13 |        143 |
| src\components\permission                                                                           |          3 |        116 |          5 |         22 |        143 |
| src\components\room                                                                                 |          3 |        315 |         10 |         25 |        350 |
| src\components\ui                                                                                   |         12 |        765 |          0 |         91 |        856 |
| src\core                                                                                            |          8 |        397 |         57 |         75 |        529 |
| src\core (Files)                                                                                    |          1 |          2 |          5 |          3 |         10 |
| src\core\config                                                                                     |          2 |        102 |          9 |         28 |        139 |
| src\core\i18n                                                                                       |          3 |        233 |         19 |         22 |        274 |
| src\core\i18n (Files)                                                                               |          1 |         19 |          1 |          4 |         24 |
