"filename", "language", "JSON", "TypeScript", "JSON with Comments", "TypeScript JSX", "CSS", "XML", "Markdown", "HTML", "JavaScript", "comment", "blank", "total"
"c:\Users\Lenovo\Desktop\React——Editor\client\src\components\Editor.tsx", "TypeScript JSX", 0, 0, 0, 133, 0, 0, 0, 0, 0, 9, 15, 157
"c:\Users\Lenovo\Desktop\React——Editor\client\src\components\FileListItem.tsx", "TypeScript JSX", 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 8, 79
"c:\Users\Lenovo\Desktop\React——Editor\client\src\components\FileNameList.tsx", "TypeScript JSX", 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 4, 55
"c:\Users\Lenovo\Desktop\React——Editor\client\src\components\FileTree\FileTree.tsx", "TypeScript JSX", 0, 0, 0, 676, 0, 0, 0, 0, 0, 56, 66, 798
"c:\Users\Lenovo\Desktop\React——Editor\client\src\components\Header.tsx", "TypeScript JSX", 0, 0, 0, 185, 0, 0, 0, 0, 0, 17, 26, 228
"c:\Users\Lenovo\Desktop\React——Editor\client\src\components\LeetCode.tsx", "TypeScript JSX", 0, 0, 0, 331, 0, 0, 0, 0, 0, 11, 26, 368
"c:\Users\Lenovo\Desktop\React——Editor\client\src\components\Message.tsx", "TypeScript JSX", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 5, 29
"c:\Users\Lenovo\Desktop\React——Editor\client\src\components\OutputBox.tsx", "TypeScript JSX", 0, 0, 0, 97, 0, 0, 0, 0, 0, 7, 17, 121
"c:\Users\Lenovo\Desktop\React——Editor\client\src\components\RunCoder.tsx", "TypeScript JSX", 0, 0, 0, 72, 0, 0, 0, 0, 0, 4, 14, 90
"c:\Users\Lenovo\Desktop\React——Editor\client\src\components\Slider.tsx", "TypeScript JSX", 0, 0, 0, 88, 0, 0, 0, 0, 0, 6, 10, 104
"c:\Users\Lenovo\Desktop\React——Editor\client\src\components\Terminal.tsx", "TypeScript JSX", 0, 0, 0, 250, 0, 0, 0, 0, 0, 30, 34, 314
"c:\Users\Lenovo\Desktop\React——Editor\client\src\components\ifarm.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 1, 20
"c:\Users\Lenovo\Desktop\React——Editor\client\src\components\member\MemberItem.tsx", "TypeScript JSX", 0, 0, 0, 88, 0, 0, 0, 0, 0, 3, 8, 99
"c:\Users\Lenovo\Desktop\React——Editor\client\src\components\member\MemberList.tsx", "TypeScript JSX", 0, 0, 0, 38, 0, 0, 0, 0, 0, 1, 5, 44
"c:\Users\Lenovo\Desktop\React——Editor\client\src\components\permission\PermissionGuard.tsx", "TypeScript JSX", 0, 0, 0, 45, 0, 0, 0, 0, 0, 2, 7, 54
"c:\Users\Lenovo\Desktop\React——Editor\client\src\components\permission\ReadOnlyBanner.tsx", "TypeScript JSX", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Users\Lenovo\Desktop\React——Editor\client\src\components\permission\RoleChangeNotification.tsx", "TypeScript JSX", 0, 0, 0, 57, 0, 0, 0, 0, 0, 3, 11, 71
"c:\Users\Lenovo\Desktop\React——Editor\client\src\components\room\CreateRoomForm.tsx", "TypeScript JSX", 0, 0, 0, 158, 0, 0, 0, 0, 0, 7, 12, 177
"c:\Users\Lenovo\Desktop\React——Editor\client\src\components\room\JoinRoomDialog.tsx", "TypeScript JSX", 0, 0, 0, 101, 0, 0, 0, 0, 0, 2, 8, 111
"c:\Users\Lenovo\Desktop\React——Editor\client\src\components\room\RoomCard.tsx", "TypeScript JSX", 0, 0, 0, 56, 0, 0, 0, 0, 0, 1, 5, 62
"c:\Users\Lenovo\Desktop\React——Editor\client\src\components\ui\avatar.tsx", "TypeScript JSX", 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 6, 52
"c:\Users\Lenovo\Desktop\React——Editor\client\src\components\ui\badge.tsx", "TypeScript JSX", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 6, 37
