Date : 2025-12-11 09:25:35
Directory : c:\Users\Lenovo\Desktop\React——Editor\server
Total : 125 files,  -20075 codes, -335 comments, -411 blanks, all -20821 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| Markdown           |          8 |        461 |         -1 |        199 |        659 |
| TypeScript         |         48 |         39 |         -2 |         21 |         58 |
| JavaScript         |          2 |         10 |          1 |         -1 |         10 |
| JSON with Comments |          3 |          0 |          0 |          0 |          0 |
| XML                |          2 |         -2 |          0 |          0 |         -2 |
| HTML               |          3 |        -33 |          0 |         -3 |        -36 |
| CSS                |          4 |       -274 |         -8 |        -38 |       -320 |
| TypeScript JSX     |         42 |     -4,835 |       -321 |       -584 |     -5,740 |
| JSON               |         13 |    -15,441 |         -4 |         -5 |    -15,450 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                          | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                             |        125 |    -20,075 |       -335 |       -411 |    -20,821 |
| . (Files)                                                                                     |          7 |     11,489 |          3 |         35 |     11,527 |
| ..                                                                                            |         85 |    -33,350 |       -535 |       -929 |    -34,814 |
| ..\client                                                                                     |         85 |    -33,350 |       -535 |       -929 |    -34,814 |
| ..\client (Files)                                                                             |         10 |     -7,759 |         -6 |        -15 |     -7,780 |
| ..\client\code-start                                                                          |          7 |    -19,159 |          0 |        -13 |    -19,172 |
| ..\client\code-start\react-ts                                                                 |          7 |    -19,159 |          0 |        -13 |    -19,172 |
| ..\client\code-start\react-ts (Files)                                                         |          3 |    -19,125 |          0 |         -3 |    -19,128 |
| ..\client\code-start\react-ts\public                                                          |          1 |         -1 |          0 |          0 |         -1 |
| ..\client\code-start\react-ts\src                                                             |          3 |        -33 |          0 |        -10 |        -43 |
| ..\client\public                                                                              |          1 |         -1 |          0 |          0 |         -1 |
| ..\client\src                                                                                 |         67 |     -6,431 |       -529 |       -901 |     -7,861 |
| ..\client\src (Files)                                                                         |          5 |       -286 |        -16 |        -42 |       -344 |
| ..\client\src\Context                                                                         |          3 |       -291 |        -28 |        -30 |       -349 |
| ..\client\src\Context (Files)                                                                 |          1 |       -109 |         -8 |        -10 |       -127 |
| ..\client\src\Context\AuthContext                                                             |          2 |       -182 |        -20 |        -20 |       -222 |
| ..\client\src\api                                                                             |          3 |        -59 |        -10 |        -16 |        -85 |
| ..\client\src\api (Files)                                                                     |          1 |        -12 |         -5 |         -8 |        -25 |
| ..\client\src\api\auth                                                                        |          2 |        -47 |         -5 |         -8 |        -60 |
| ..\client\src\assets                                                                          |          1 |         -1 |          0 |          0 |         -1 |
| ..\client\src\components                                                                      |         25 |     -2,982 |       -190 |       -362 |     -3,534 |
| ..\client\src\components (Files)                                                              |         12 |     -1,580 |       -110 |       -211 |     -1,901 |
| ..\client\src\components\CoderEditor                                                          |          2 |        -90 |        -21 |        -10 |       -121 |
| ..\client\src\components\Control-Router                                                       |          2 |        -33 |         -3 |         -7 |        -43 |
| ..\client\src\components\FileTree                                                             |          1 |       -674 |        -56 |        -66 |       -796 |
| ..\client\src\components\ui                                                                   |          8 |       -605 |          0 |        -68 |       -673 |
| ..\client\src\lib                                                                             |          1 |         -5 |          0 |         -2 |         -7 |
| ..\client\src\pages                                                                           |          9 |     -1,468 |        -96 |       -168 |     -1,732 |
| ..\client\src\template                                                                        |          4 |        -85 |          0 |        -13 |        -98 |
| ..\client\src\types                                                                           |          2 |        -48 |         -1 |         -7 |        -56 |
| ..\client\src\types (Files)                                                                   |          1 |        -41 |         -1 |         -7 |        -49 |
| ..\client\src\types\users                                                                     |          1 |         -7 |          0 |          0 |         -7 |
| ..\client\src\utils                                                                           |         13 |     -1,088 |       -170 |       -247 |     -1,505 |
| ..\client\src\yjs                                                                             |          1 |       -118 |        -18 |        -14 |       -150 |
| src                                                                                           |         31 |      1,756 |        197 |        477 |      2,430 |
| src (Files)                                                                                   |          6 |         98 |         20 |         16 |        134 |
| src\auth                                                                                      |         16 |      1,275 |        102 |        382 |      1,759 |
| src\auth (Files)                                                                              |          3 |        233 |         70 |         53 |        356 |
| src\auth\decorators                                                                           |          2 |         11 |         20 |          5 |         36 |
| src\auth\filters                                                                              |          1 |          0 |          0 |          1 |          1 |
| src\auth\guards                                                                               |          2 |         20 |          5 |          6 |         31 |
| src\auth\leads                                                                                |          5 |        947 |          0 |        309 |      1,256 |
| src\auth\strategies                                                                           |          3 |         64 |          7 |          8 |         79 |
| src\chat                                                                                      |          3 |        227 |         61 |         45 |        333 |
| src\dto                                                                                       |          2 |         21 |          0 |          8 |         29 |
| src\user                                                                                      |          4 |        135 |         14 |         26 |        175 |
| src\user (Files)                                                                              |          3 |        102 |         10 |         15 |        127 |
| src\user\entities                                                                             |          1 |         33 |          4 |         11 |         48 |
| test                                                                                          |          2 |         30 |          0 |          6 |         36 |
+-----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                      | language           | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\Lenovo\Desktop\React——Editor\client\code-start\react-ts\package-lock.json            | JSON               |    -19,094 |          0 |         -1 |    -19,095 |
| c:\Users\Lenovo\Desktop\React——Editor\client\code-start\react-ts\package.json                 | JSON               |        -23 |          0 |         -1 |        -24 |
| c:\Users\Lenovo\Desktop\React——Editor\client\code-start\react-ts\public\index.html            | HTML               |         -1 |          0 |          0 |         -1 |
| c:\Users\Lenovo\Desktop\React——Editor\client\code-start\react-ts\src\App.tsx                  | TypeScript JSX     |        -10 |          0 |         -3 |        -13 |
| c:\Users\Lenovo\Desktop\React——Editor\client\code-start\react-ts\src\index.tsx                | TypeScript JSX     |         -9 |          0 |         -4 |        -13 |
